id,symptoms,vaidya_name,panchakarma,username,password,vaidya_description
130,"joint pain, back pain",Vaidya Gopal Menon,Basti,vaidya.gopal.menon,VcBUmqsR,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
131,"acne, blood impure",Vaidya Prakash Nair,Raktamokshana,vaidya.prakash.nair,AeoWiyhh,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
132,"asthma, respiratory issue",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,GO7WUvPK,"Renowned Ayurvedic practitioner with 25+ years of experience, specializing in Panchakarma therapies for skin disorders and chronic digestive issues. Honored with the National Ayurveda Excellence Award."
133,"eczema, pimples, liver problem",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,tXU0r2sd,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
134,"arthritis, gastric problem",Vaidya Gopal Menon,Basti,vaidya.gopal.menon,921tvMFz,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
135,"obesity, cough, bronchitis",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,CAicykrA,Respected expert in stress management and insomnia relief using Shirodhara and Panchakarma therapies. Runs workshops on Ayurveda and mental wellness.
136,"cough, respiratory issue, bronchitis",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,gzYUk4nE,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
137,"constipation, arthritis, back pain",Vaidya Rohit Patil,Basti,vaidya.rohit.patil,y5FScLqY,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
138,"psoriasis, eczema",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,KGSHFWMH,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
139,"constipation, back pain",Vaidya Seema Verma,Basti,vaidya.seema.verma,iSyrzAwd,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
140,"stuffy nose, headache",Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,3wzd974e,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
141,"arthritis, gastric problem, back pain",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,1ZE97SBH,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
142,"acidity, psoriasis, allergy",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,OmCzWJ6Q,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
143,headache,Vaidya Priya Nair,Nasya,vaidya.priya.nair,F1a4geiL,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
144,pimples,Vaidya Mohan Sharma,Virechana,vaidya.mohan.sharma,I2ukK61g,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
145,"bronchitis, respiratory issue",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,1aYRjMMT,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
146,"allergy, eczema",Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,U7ZEhWeE,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
147,"asthma, respiratory issue, obesity",Vaidya Vinod Jadhav,Vamana,vaidya.vinod.jadhav,RQNdBbJu,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
148,kapha disorder,Vaidya Lata More,Vamana,vaidya.lata.more,YNNgSKCI,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
149,"bronchitis, obesity, cough",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,T86yuYQT,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
150,headache,Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,BHsNG9w5,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
151,"inflammation, acne, skin boils",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,a7SbAD1I,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
152,"skin rashes, psoriasis, pimples",Vaidya Kavya Reddy,Virechana,vaidya.kavya.reddy,AJrUdAcw,"Recognized Ayurveda scholar, awarded the Ayush Research Fellowship, for contributions to the study of Panchakarma in chronic illness management."
153,"joint pain, back pain, constipation",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,2RThqTAu,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
154,asthma,Vaidya Kunal Thakur,Vamana,vaidya.kunal.thakur,o9uKuVRH,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
155,"cold, sinus, migraine",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,KU07328o,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
156,"sinus, stuffy nose, migraine",Vaidya Arjun Desai,Nasya,vaidya.arjun.desai,arICiV6E,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
157,"obesity, asthma, cough",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,mu6T46XN,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
158,respiratory issue,Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,eZwq3U1O,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
159,arthritis,Vaidya Gopal Menon,Basti,vaidya.gopal.menon,xuVGt4HA,"Dedicated to women’s health and hormonal balance, integrating Panchakarma with herbal care. Contributor to Ayurveda curriculum development at reputed universities."
160,ulcer,Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,dB950tR1,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
161,ulcer,Vaidya Geeta Patil,Raktamokshana,vaidya.geeta.patil,xBoG3xfN,Distinguished vaidya focusing on preventive healthcare and holistic rejuvenation. Worked with WHO projects promoting Ayurveda for lifestyle diseases.
162,inflammation,Vaidya Jyoti Rao,Raktamokshana,vaidya.jyoti.rao,5LHRWlOw,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
163,asthma,Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,sDm9b63V,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
164,"sinus, cold, nose block",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,4lmHbhQk,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
165,"arthritis, constipation",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,qJdtJnqj,"Internationally acclaimed vaidya who has conducted workshops in Europe and the USA, spreading awareness about authentic Panchakarma practices."
166,"migraine, headache, sinus",Vaidya Manisha Patil,Nasya,vaidya.manisha.patil,yQrD5XCJ,Known for creating personalized Panchakarma plans to treat digestive imbalances. Author of 'Modern Panchakarma Approaches' and consultant at leading wellness centers.
167,"skin boils, inflammation",Vaidya Arvind Sharma,Raktamokshana,vaidya.arvind.sharma,uKro9rP2,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
168,cold,Vaidya Deepak Shukla,Nasya,vaidya.deepak.shukla,5vm01GmL,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
169,"cough, respiratory issue",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,StEYcZzF,"Pioneer in applying Ayurveda for diabetes and lifestyle disorders, combining yoga with Panchakarma. Featured in Ayurveda Today Journal."
170,pimples,Vaidya Gopal Menon,Virechana,vaidya.gopal.menon,F0qny27G,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
171,"arthritis, back pain",Vaidya Aarti Kulkarni,Basti,vaidya.aarti.kulkarni,USim5Dv7,Highly regarded vaidya focusing on fertility and reproductive health using Ayurvedic formulations and Panchakarma cleansing therapies.
172,"blood impure, skin boils",Vaidya Anita Singh,Raktamokshana,vaidya.anita.singh,6h3mpy1G,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
173,"kapha disorder, respiratory issue, cough",Vaidya Amit Deshmukh,Vamana,vaidya.amit.deshmukh,vxVQmT8n,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
174,"stuffy nose, headache",Vaidya Nisha Bhat,Nasya,vaidya.nisha.bhat,dGrYc2eF,"Renowned healer known for compassionate care, with expertise in holistic recovery programs for post-surgical patients using Ayurveda and Panchakarma."
175,"indigestion, constipation, arthritis",Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,M4DUygR4,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
176,pimples,Vaidya Rohit Patil,Virechana,vaidya.rohit.patil,48Q0zryc,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
177,"kapha disorder, respiratory issue, asthma",Vaidya Shreya Kulkarni,Vamana,vaidya.shreya.kulkarni,3ieYQPDl,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
178,"asthma, kapha disorder",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,NToNIcYW,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
179,"inflammation, skin boils",Vaidya Suresh Reddy,Raktamokshana,vaidya.suresh.reddy,oUD72cYG,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
180,"cold, migraine",Vaidya Sneha Kapoor,Nasya,vaidya.sneha.kapoor,SZvydSd9,Award-winning doctor with expertise in Raktamokshana for blood purification and skin ailments. Conducted clinical trials on gout and arthritis management.
181,"arthritis, joint pain",Vaidya Sandeep Joshi,Basti,vaidya.sandeep.joshi,nu96woYt,Specialist in treating chronic headaches and stress disorders using Nasya and meditation techniques. Invited speaker at international Ayurveda conferences.
182,cold,Vaidya Priya Nair,Nasya,vaidya.priya.nair,uP0wIdlE,"Expert in migraine and respiratory treatments, integrating Nasya therapy with herbal formulations. Published research papers on Ayurveda’s role in neurological health."
183,"respiratory issue, obesity",Vaidya Rajesh Rane,Vamana,vaidya.rajesh.rane,81FUBUWn,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
184,constipation,Vaidya Kavya Reddy,Basti,vaidya.kavya.reddy,eKJUMa3u,"Specialist in detoxification and metabolic disorders, blending classical Ayurveda with modern diet therapy. Recipient of the Ayurveda Ratna Award."
185,"arthritis, back pain",Vaidya Tarun Bhosale,Basti,vaidya.tarun.bhosale,AOpG6rHc,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
186,liver problem,Vaidya Sandeep Joshi,Virechana,vaidya.sandeep.joshi,eCcazX2a,"Research-oriented practitioner specializing in dermatological conditions, especially eczema and psoriasis. Published findings in Indian Journal of Ayurveda."
187,"headache, migraine",Vaidya Meera Sharma,Nasya,vaidya.meera.sharma,HQy8vUps,"Distinguished physician focusing on sinus and respiratory care, trained in Kerala’s traditional healing practices, and widely recognized for effective Panchakarma therapies."
188,"bronchitis, obesity, cough",Vaidya Neha Mehta,Vamana,vaidya.neha.mehta,jHG5u1BU,Known for excellence in joint care and arthritis treatments through Panchakarma and herbal remedies. Recognized with the Ayurveda Service Medal.
189,"stuffy nose, allergy",Vaidya Priya Nair,Nasya,vaidya.priya.nair,fMh4CNpJ,"Specialist in cardiac health and hypertension, integrating herbal therapy with Panchakarma detox for long-term wellness."
190,"bronchitis, obesity, cough",Vaidya Kavita Joshi,Vamana,vaidya.kavita.joshi,xwtCy55h,Acclaimed practitioner treating autoimmune disorders through Panchakarma detox therapies. Trained more than 100 Ayurveda students in traditional practices.
191,"arthritis, constipation, gastric problem",Vaidya Gopal Menon,Basti,vaidya.gopal.menon,q2JVLQ3E,Experienced vaidya specializing in pediatric Ayurveda and natural immunity-building treatments. Consulted by parents across India for holistic child care.
